host		0.0	2.28	
host		2.52	3.16	
host		3.33	4.65	
host		4.85	7.34	
host		7.5	8.02	
host		8.22	8.91	
host		9.07	9.99	
host		10.16	11.8	
host		12.0	12.83	
host		12.94	14.48	
host		14.7	15.29	
host		15.51	16.43	
host		16.55	17.19	
host		17.39	18.95	
host		19.18	20.17	
host		20.31	21.37	
host		21.65	23.7	
host		23.83	26.44	
host		26.57	27.48	
host		27.61	29.03	
host		29.22	29.55	
host		29.67	30.5	
host		30.62	33.42	
host		33.57	35.06	
host		35.34	37.24	
host		37.33	38.97	
host		39.28	40.74	
host		40.93	41.21	
host		41.42	44.36	
host		44.56	45.76	
host		45.98	49.6	
host		49.81	51.23	
host		51.33	51.64	
host		51.83	52.99	
host		53.13	53.87	
host		54.01	54.87	
host		55.11	55.3	
host		55.49	56.16	
host		56.43	57.24	
host		57.38	57.75	
host		57.905	58.42	
host		58.63	59.08	
host		59.17	59.31	
host		59.49	60.79	
host		60.93	61.94	
host		62.15	62.82	
host		62.95	63.34	
host		63.57	63.88	
host		64.08	67.6	
host		67.76	68.52	
host		68.75	70.07	
