host		0.0	9.72	
host		11.82	14.98	
host		19.58	20.24	
host		20.41	26.38	
host		27.3	27.85	
host		28.32	30.61	
host		31.65	35.37	
host		37.0	40.31	
host		41.2	42.11	
host		46.22	48.22	
host		48.72	51.94	
host		53.38	53.64	
host		54.63	57.61	
host		57.94	58.4	
host		59.25	60.2	
host		60.86	61.39	
host		61.62	64.63	
host		67.43	68.33	
host		69.26	71.47	
host		72.34	72.68	
host		76.02	78.86	
host		79.81	81.86	
host		82.93	84.38	
host		86.11	88.08	
host		90.88	91.31	
host		91.48	91.95	
host		92.38	97.07	
host		100.17	100.92	
host		102.46	105.72	
host		110.03	112.71	
host		114.15	114.5	
host		115.37	117.13	
host		119.05	119.8	
host		119.98	121.23	
host		121.65	122.42	
host		122.87	124.07	
host		124.53	125.26	
host		125.49	132.02	
host		133.24	135.18	
host		135.79	140.68	
