host		9.06	9.97	
host		21.16	21.82	
host		24.03	24.82	
host		43.72	43.97	
host		44.29	48.62	
host		52.65	53.37	
host		65.88	66.61	
host		77.26	78.72	
host		86.23	86.81	
host		87.02	87.43	
host		87.68	88.27	
host		88.48	89.19	
host		89.46	96.46	
host		96.66	97.88	
host		97.99	100.53	
host		106.93	107.59	
host		113.01	115.37	
host		129.65	130.42	
host		141.28	142.26	
host		143.67	144.08	
host		144.27	144.78	
host		144.92	145.41	
host		145.56	146.6	
host		146.7	147.75	
host		147.9	150.15	
host		151.27	152.26	
host		163.62	164.63	
host		167.86	168.68	
host		173.76	175.8	
host		185.24	185.82	
host		189.6	190.12	
host		192.12	192.35	
uncertain		0.0	3.43	
uncertain		192.37	196.11	
