host		0.0	1.41	
host		1.61	4.28	
host		11.22	14.88	
host		25.83	27.6	
host		32.13	33.61	
host		33.85	34.74	
host		38.96	41.54	
host		42.0	43.77	
host		43.987	44.9	
host		51.457	54.56	
host		54.747	55.27	
host		62.75	63.91	
host		68.17	69.42	
host		70.4	71.84	
host		72.01	74.19	
host		76.19	78.5	
host		78.728	83.2	
host		90.7	91.92	
host		98.56	99.4	
host		99.75	100.2	
host		107.812	109.26	
host		112.202	113.76	
host		114.932	117.832	
host		118.01	119.46	
host		126.53	127.46	
host		133.22	134.18	
host		138.12	140.6	
host		147.2	148.9	
host		150.25	151.14	
host		152.28	154.96	
host		156.44	157.48	
host		157.64	159.92	
host		160.162	160.83	
host		160.952	162.07	
host		164.462	165.85	
host		166.952	168.05	
host		170.61	172.33	
host		175.91	176.88	
host		180.97	182.81	
host		185.74	190.82	
host		191.06	192.26	
host		199.23	199.89	
host		205.01	206.3	
host		206.75	208.04	
host		208.43	209.39	
host		210.69	212.03	
host		216.8	219.63	
host		220.74	221.95	
host		222.21	223.13	
host		223.37	223.69	
host		225.45	226.36	
host		226.76	229.82	
host		230.09	232.35	
host		232.55	233.84	
host		234.13	235.44	
host		235.58	236.63	
host		236.83	238.68	
host		241.67	242.44	
host		246.94	248.33	
host		252.78	253.78	
host		253.91	254.33	
host		257.45	258.17	
host		263.39	266.54	
host		267.3	268.75	
host		272.76	274.56	
host		274.87	275.35	
host		278.35	281.91	
host		282.17	283.39	
host		285.06	288.3	
host		288.44	291.15	
host		291.36	292.61	
host		299.81	301.35	
host		302.39	304.34	
host		307.59	309.76	
host		317.33	318.92	
host		321.6	323.46	
host		328.77	329.74	
host		334.03	335.84	
host		336.38	338.0	
host		341.29	344.86	
host		345.04	347.8	
host		348.03	349.64	
host		354.08	356.06	
host		357.032	357.72	
host		362.092	364.24	
host		365.062	367.69	
host		368.482	369.78	
host		371.202	373.55	
host		373.852	374.062	
host		374.212	375.602	
host		376.122	376.79	
host		378.772	380.09	
host		380.78	381.69	
host		382.37	385.86	
