host		1.14	1.85	
host		25.33	26.68	
host		27.61	28.24	
host		28.45	28.59	
host		29.44	31.23	
host		31.42	31.92	
host		32.61	33.23	
host		36.56	37.075	
host		37.55	38.12	
host		38.72	39.4	
host		42.39	42.88	
host		43.07	43.62	
host		43.85	44.67	
host		45.86	48.48	
host		48.66	48.96	
host		49.32	50.29	
host		51.18	52.92	
host		54.0	54.32	
host		54.66	55.48	
host		55.78	57.2	
host		57.44	57.7	
host		84.265	86.2	
host		92.65	93.63	
host		94.38	95.03	
host		97.46	98.63	
host		99.26	99.36	
uncertain		0.0	0.125	
uncertain		2.86	24.38	
uncertain		59.61	84.02	
uncertain		99.75	120.21	
